"poa_2006","geoscience_australia_lambert_area_km2","geocentx","geocenty"
"2381",320.571295860352,1550815.3481787,-3627384.92233296
"2382",1766.10601135156,1521110.82732828,-3558668.34913036
"2386",0.816264377929688,1423437.54147615,-3485384.25582328
"2387",2261.14466943604,1415065.48472687,-3453598.84764114
"2388",6363.75775098242,1443705.92213159,-3507246.78763113
"2390",4224.11773497656,1496084.10801437,-3527655.84605779
"2395",1105.64488569629,1442263.20557385,-3659697.90324782
"2396",2286.50387415283,1426613.4614695,-3576546.04116165
"2397",1638.3075169834,1516489.37169142,-3482226.18320907
"2399",897.977845903809,1541009.785312,-3438553.51971452
"2400",8960.35604578369,1491858.73942048,-3415807.28447859
"2401",372.827163022461,1557693.94141631,-3450857.33185484
"2402",1828.46227901416,1586695.62423023,-3436128.28264179
"2403",311.21130869043,1601628.82215752,-3457448.4298038
"2404",2293.18608724316,1573193.63867794,-3486560.82063603
"2142",9.65255893212891,1562245.82017029,-3916666.27703281
"2405",3469.07002680518,1493375.06709867,-3373302.69458902
"2406",2818.74550947119,1453008.27772381,-3366800.08145109
"2408",2408.38841858643,1580130.75219679,-3391183.79889451
"2409",1373.83649074365,1556154.20598158,-3347467.3070601
"2410",1.58948662744141,1612241.44172686,-3377016.61325337
"2411",601.163137813965,1562605.91022865,-3406422.88022567
"2415",73.2355511748047,1670988.99550415,-3761286.63358924
"2420",1184.40618053564,1647081.53292933,-3765798.48249258
"2421",174.392394523926,1629201.15118457,-3782449.27786162
"2422",3238.59650160547,1662553.07159652,-3719737.8021078
"2143",2.41977365527344,1561912.42278937,-3922737.32219087
"2160",8.41875399511719,1558863.52666472,-3916534.5373598
"2423",1156.93810129004,1699659.53326219,-3772739.34242191
"2424",671.211442867188,1682716.19778637,-3689432.84211544
"2425",1015.95203278711,1675548.06856131,-3772571.28474814
"2426",24.6569285209961,1739845.30172854,-3716431.6985817
"2427",167.666515728516,1748336.16503256,-3717427.90022743
"2428",381.911313067383,1718933.17788743,-3760971.41473181
"2429",2040.09421476221,1708036.41045525,-3708764.25717052
"2430",932.488756668945,1726101.40083188,-3725283.27629327
"2431",80.9717965600586,1793960.52762153,-3628901.72101931
"2439",360.982611202148,1747529.20769458,-3696710.57337569
"2440",3163.79860094531,1756789.48842286,-3621889.04621399
"2441",790.882996104492,1761937.98231197,-3644461.00188326
"2443",195.559956177734,1747959.69486862,-3707452.50108637
"2444",287.51975311377,1770293.04322131,-3674837.77045077
"2144",8.57105752929687,1562428.06541875,-3919227.22141387
"2145",21.8907687592773,1556981.52459677,-3913784.78574642
"2445",11.6340004169922,1765010.42796878,-3694152.31546171
"2446",2169.169917625,1731090.76832166,-3668633.65539155
"2447",569.489831236328,1774567.86120099,-3603491.71931476
"2448",163.683431223633,1788962.94802169,-3589677.10866159
"2449",555.053651571777,1766533.37359803,-3587488.81001139
"2450",2078.22770703369,1773172.70865739,-3531644.64870414
"2452",9.82320408056641,1808795.45811585,-3566210.35973965
"2453",1447.5986190415,1768958.13569467,-3545452.78034049
"2454",982.692796421387,1774568.73449283,-3571363.79614483
"2455",46.798286394043,1797178.90435815,-3583200.09435062
"2456",281.645811046387,1820723.33856353,-3531604.52835373
"2460",6446.93255508984,1789480.47858551,-3481878.16072164
"2462",75.2415813994141,1821413.09545486,-3486889.00407682
"2463",389.866959965332,1836135.24994424,-3480054.53059315
"2464",101.241335578613,1845205.05731268,-3475473.98576653
"2146",6.63285506103516,1557089.7573172,-3911133.39947169
"2147",15.7618804003906,1555607.28715799,-3908551.96959946
"2148",45.1923165800781,1551963.25662403,-3910421.1463205
"2150",6.37525904003906,1561208.93668893,-3914443.74301845
"2151",8.78741706445313,1562570.54017857,-3910969.40255118
"2152",4.1022233125,1560820.01068177,-3911187.22791284
"2153",25.5125795849609,1559249.02170376,-3907336.04011035
"2154",18.7655351264648,1561979.37725734,-3904928.13166202
"2155",33.540131746582,1556799.4753523,-3900388.98548495
"2156",60.0034565039062,1560494.08899212,-3896470.67566603
"2157",52.3277995927734,1563034.48626574,-3889839.3902641
"2158",38.1077993374023,1565855.49081082,-3899779.92748372
"2159",203.937205217773,1571745.73871803,-3887306.7450355
"2465",1.71606389453125,1838874.62643163,-3467285.95015714
"2161",13.2986694536133,1558336.24853883,-3918836.46806546
"2516",6.29257852685547,1544651.99982688,-3969581.33431249
"2517",9.41064991845703,1543789.54472862,-3971558.67535648
"2518",11.822790140625,1543216.85359144,-3974141.75367948
"2519",10.96197971875,1541453.35632583,-3976091.09466557
"2525",25.9372802734375,1536626.50841036,-3978742.41387067
"2526",12.8100749321289,1535944.44512197,-3981786.80185116
"2527",123.002954868652,1527454.5397544,-3995827.99857201
"2162",5.43704353808594,1560107.35280915,-3921879.02415069
"2172",4.91311874560547,1556656.28747012,-3930765.12247688
"2173",64.8087300102539,1552569.28513771,-3933263.196896
"2538",589.557998493652,1476645.89284217,-4061798.58977119
"2163",7.31334553320313,1557655.40487402,-3921954.10395995
"2164",19.6150353183594,1552608.43016429,-3916655.90869431
"2165",10.5008145957031,1554898.36183211,-3919779.79361377
"2166",14.7094926777344,1553946.33858029,-3922182.63545587
"2174",2.70757958837891,1545547.35419529,-3930225.54286591
"2175",26.0561426386719,1546525.40944774,-3915836.2871294
"2539",1024.15620194824,1466784.91960893,-4080120.29727795
"2540",1216.1607045708,1502056.87838479,-4041783.51533743
"2541",79.6993770302734,1510587.86274585,-4023542.639565
"2545",1017.45655504785,1422269.40590088,-4151888.09103322
"2546",377.479983358887,1435711.42431475,-4171003.91855797
"2548",26.278140234375,1417954.20064486,-4239302.82981035
"2549",264.005136583008,1410791.09368353,-4243360.81043357
"2550",4859.82691133643,1400350.69530703,-4218601.21576248
"2551",1153.60420728955,1406487.60241545,-4274636.03307869
"2555",25.6825530219727,1535145.07831218,-3919036.34444114
"2556",18.6364215390625,1534334.80623555,-3922896.9746279
"2557",54.2928722636719,1536774.13050802,-3928990.36521204
"2558",8.388618296875,1539643.64499531,-3935461.17674922
"2559",4.64311424316406,1538884.12042878,-3937575.69561406
"2560",362.978822741699,1540699.19234272,-3948987.71958702
"2167",9.45034424316406,1548104.34388053,-3930420.58943219
"2168",13.0506835390625,1547946.83457569,-3923688.90844858
"2170",53.9930277719727,1550936.0643048,-3926358.21898113
"2171",20.9933791000977,1544640.90852025,-3923817.08819783
"2195",3.19617105664063,1565950.63330161,-3926906.45629562
"2176",16.0044080727539,1549784.00019282,-3919215.66742388
"2177",5.3002940546875,1548737.29562128,-3921423.35991755
"2178",51.1024484228516,1541306.7612934,-3916723.18826931
"2179",38.8245973735352,1541232.43735155,-3925320.55146075
"2203",2.05702684814453,1572105.85877026,-3925909.06096227
"2190",9.92469817919922,1564561.16837505,-3924396.93320598
"2293",1.29666690283203,1643645.54706544,-3825945.45272911
"2191",2.78745251513672,1566801.43352734,-3924951.61878679
"2192",2.79188050537109,1567339.48268143,-3926935.21371792
"2296",0.847365728515625,1642811.68583765,-3825489.07110018
"2193",4.07742639746094,1570309.71767511,-3926186.74436646
"2194",3.72408624609375,1568645.45208926,-3926500.94622944
"2196",8.03270947314453,1564438.98641336,-3927896.42846273
"2197",2.80245747558594,1559251.84129255,-3923685.57833782
"2198",6.34637928613281,1558059.97158434,-3925276.65515872
"2199",5.51735039453125,1561447.78892083,-3924232.88441807
"2200",11.2635467866211,1561214.97185547,-3926464.4509648
"2563",0.708321121582031,1533551.15887778,-3942734.1440844
"2204",5.77715306298828,1573473.71224473,-3926895.38887533
"2208",3.89879210693359,1567956.07855642,-3929217.79920175
"2205",4.95478877783203,1572165.52410855,-3929577.66866983
"2218",2.58934628369141,1569289.73089436,-3933023.34101329
"2219",3.72763177636719,1570414.91633548,-3935741.13246923
"2220",5.10880030566406,1567521.74558752,-3931981.14548777
"2221",5.37574335644531,1567842.92045586,-3934488.09330085
"2206",5.51366822509766,1570699.27175611,-3928016.48574259
"2222",2.23238558398437,1566419.05375313,-3931825.49561289
"2223",7.17394101806641,1565051.872313,-3933056.03506443
"2207",6.67269208789063,1569644.49547648,-3930545.48639897
"2224",4.83371028125,1567059.88883188,-3937498.00513727
"2225",2.00815253710938,1565222.86755583,-3936020.76582691
"2226",4.31302545410156,1563547.37211955,-3936490.40064842
"2227",4.32261461962891,1565209.89004214,-3940314.03907976
"2228",6.17650691748047,1566884.88368552,-3939853.05130492
"2229",10.5490805415039,1568467.08642645,-3941134.73081069
"2230",9.59772929980469,1570439.83290518,-3943100.46557833
"2231",19.08049378125,1575409.71172518,-3939626.83135581
"2232",106.626217678223,1563947.3520236,-3947290.91296712
"2233",62.7755510117187,1558837.98872089,-3944671.99426967
"2234",99.0663874970703,1555311.3284304,-3940986.45536756
"2250",668.41587784375,1588935.5425684,-3863560.92696208
"2251",50.6745562392578,1601978.49375925,-3882925.66246448
"2256",13.0900699882813,1593904.64577108,-3884011.91875452
"2257",21.9931571884766,1596461.45923783,-3886170.95716832
"2258",71.2669772006836,1599869.2551734,-3866735.68668596
"2259",556.774872087402,1605388.32167773,-3851409.91107058
"2260",22.6618330214844,1606679.28043303,-3877493.56013023
"2261",39.6213936416016,1610813.97172119,-3870135.03651258
"2262",20.7249219482422,1618929.74980556,-3855734.84076678
"2263",16.4804792749023,1618099.38402041,-3860977.36303998
"2264",104.620331657715,1613728.55794917,-3843980.77225484
"2265",158.982244246094,1612469.28912681,-3835637.06348465
"2267",4.19341317089844,1625367.18397681,-3840335.11705698
"2278",55.6213672539063,1624369.70423581,-3827114.70691721
"2280",23.4067611376953,1633118.22635577,-3836996.54918995
"2281",29.0775330874023,1628933.7791587,-3846403.6743289
"2282",12.6622409135742,1633210.43759751,-3831199.99949863
"2283",70.4249357006836,1624032.86574417,-3834461.42776502
"2284",11.7819132719727,1629969.63263525,-3829120.69359028
"2285",25.571238972168,1632711.74496885,-3826422.48378659
"2286",39.6822215151367,1627418.49164392,-3821977.33269911
